id,item_name,daily_price_pence,img_url,user_id
1,Sigma 10-20mm lense,1400,sigma-1020mm-lense-29301391.jpg,15128
2,Canon 24mm f/2.8,500,canon-24mm-f28-64931205.jpg,15128
3,8 x Astera AX1 Kit with AsteraBox ART7 / Pixel tube LED Video Lights Event Pixeltube,10000,8-x-astera-ax1-kit-with-asterabox-art7--pixel-tube-led-video-lights-event-pixeltube--96269593.jpg,15002
4,2 x Astera AX1 Kit with Astera Remote / Pixel tube LED Video Lights Event Pixeltube Neon Light,4000,2-x-astera-ax1-kit-with-astera-remote-pixel-tube-led-video--76434404.jpg,15002
5,Sigma 16mm F1.4 E-Mount + Variable ND filter,2000,sigma-16mm-f14-emount--variable-nd-filter--14592022.HEIC,16130
6,Analogue Mixing Desk,500,behringer-xenyx-1202-analogue-mixing-desk-80058771.JPG,15307
7,Sony a7 III 3 Camera Body + Manfrotto Fluid tripod + Light,4500,sony-a7-r-iii-3-camera-body--manfrotto-fluid-tripod--light-41990843.jpg,15667
8,Sony 70-200 f/ 2.8 GM OSS Lens,2400,sony-fe-70200mm-f28-g-master-oss-lens-78930208.JPG,15667
9,Sony PXW-FS7,16000,sony-pxwfs7-71647785.jpg,15197
10,Vinten Pro 5 Tripod,1500,vinten-pro-5-tripod-88634878.JPG,15210
11,Red Gemini Camera and Cosmo 500 Wireless,19000,red-gemini-camera-and-cosmo-500-wireless-59704526.jpg,15067
12,Aputure 300d II LS kit,5000,aputure-300d-ii-ls-42849521.HEIC,16572
13,"Prime Lens Kit 24, 35, 50, 85 mm Canon-EF Fit",2900,prime-lens-kit-18-35-50-85-mm-canonef-fit-66193949.JPG,16407
14,Canon 5D Mark 2,2000,canon-5d-mark-2-26619025.jpg,15873
15,gimbal + lens + camera  kit bundle,6000,gimbal--lens--camera--kit-bundle-39648809.jpg,15873
16,"Nikon lens 50mm  1:1.8G ,",1000,nikon-lens-50mm--118g---49757894.HEIC,16957
17,Canon 1.4x MKII Extender Lens,900,canon-14x-mkii-extender-38215328.jpg,15104
18,Pioneer DJM900 Nexus 2,6000,pioneer-djm900-nexus-2-38092011.png,15774
19,Mxl V69 Mogami Edition Tube Microphone,2000,mxl-v69-mogami-edition-tube-microphone-46148564.JPG,15108
20,Canon EF-S 24mm f2.8 STM Lens,800,canon-efs-f28-24mm-stm-lens-26299846.jpg,15104
21,Canon 70D DSLR Camera + Canon EFS 18-55mm IS STM Lens,1840,canon-70d-dslr-camera--canon-efs-1855mm-is-stm-lens-31088324.jpg,16322
22,Canon 5D MK IV,5000,canon-5d-mk-iv-92727194.jpeg,15084
23,Vintage Tripod,750,vintag-tripod-47889972.JPG,15920
24,PES 2018 Pro Evolution Soccer 2018 PlayStation 4 PS4,225,pes-2018-pro-evolution-soccer-2018-playstation-4-ps4-54475579.PNG,15380
25,Fujifilm XT2 with 18-55 Lens,3500,fujifilm-xt2--18--55-lens-11915069.jpg,15072
26,Canon 24-105mm f4 L IS USM Lens,1000,canon-24105mm-f4-l-is-usm-lens-62256266.JPG,16322
27,Manfrotto MVH 502AH Professional Fluid Camera Tripod Head,1000,manfrotto-mvh-502ah-professional-fluid-tripod-head-56947318.jpg,16322
28,"MAVIC 2 PRO! FLY MORE, 1 inch sensor, hasselblad.",5000,mavic-2-pro-fly-more-1-inch-sensor-hasselblad-01123993.jpg,15206
29,Electric Bike Folding,2500,electric-bike-folding-51990095.JPG,15572
30,Fender Acoustic Guitar,1000,fender-acoustic-guitar-43954538.jpg,15278
31,Elgato Game Capture HD,500,elgato-game-capture-hd-94994553.jpg,15446
32,Canon 80D + 50mm 1.4 canon lenses,2250,canon-80d--50mm-14-canon-lenses---09088391.JPG,15416
33,Canon EF 50mm F1.8 II Lens,600,canon-50mm-f18-lens-53452772.jpg,16322
34,PlayStation 4 Console,1000,playstation-4-36476652.jpg,16008
35,"Velbon DF-40 Tripod, Black",300,velbon-df40-tripod-black-22830214.JPG,15816
36,DJI Mavic air Drone,2070,dji-mavic-air-drone-27807438.jpg,15816
37,Nikon 24-70mm f2.8l Lens,1800,nikon-2470mm-f28l-lens-58618066.jpg,16453
38,Tokina 11-16mm f2.8 Lens for Canon DSLR,1500,tokina-1116mm-f28-lens-for-canon-dslr-62562484.jpg,15816
39,Manfrotto Xpro Video Monopod with 2 Way Head,729,manfrotto-xpro-video-monopod-with-2-way-head-95921949.jpg,15816
40,Canon 50mm f1.4 USM Lens,1000,canon-50mm-f14-usm-lens-51644536.JPG,16322
41,Nikon D750 (Body Only),1600,nikon-d750-body-only-12447648.jpg,16453
42,Kino Flo Diva-Lite 415 Kit,3040,kino-flo-divalite-415-kit-59001793.jpg,16730
43,Yongnuo YN600EX-RT Wireless Flash Speedlite,1000,yongnuo-yn600exrt-wireless-flash-speedlite-for-canon-slr-camera-32285141.jpg,16322
44,Sony FS5 + 18-105 f/4 kit lense,7500,sony-fs5--18105-f4-kit-lense--68501135.jpg,15084
45,Induro AT214 8m 3-Section Alloy DSLR Camera Tripod,1000,-induro-at214-8m-3section-professional-alloy-tripod-11925674.jpg,16322
46,Nikon D750 SLR kit with 50mm lens,3000,nikon-d750-slr-kit-with-lenses-35793363.jpg,16453
47,Leaf Blower,700,leaf-blower-64249389.jpg,15731
48,2 x Pioneer CDJ2000NXS2 Decks & DJM900NXS2 Mixer (Nexus 2),13500,2-x-pioneer-cdj2000nxs2--djm900nxs2-08574254.jpg,16820
49,Canon EF f1.8 50mm STM Lens,900,canon-ef-f18-50mm-stm-lens-13847232.jpg,15104
50,"Video Kit (Canon 100D Camera, 4x Lenses, Steady Rig)",5500,compact-video-maker-kit-86646622.jpg,15104
51,"Wedding Bundle Kit (Canon 6D Camera, 3x Lens, Flash)",17500,pro-wedding-bundle-kit-81601388.jpg,15104
